Comment,Designator,Footprint
PJ-327A 5JJ,3.5mmjack1,AUDIO-SMD_PJ-327A5JJ
TPA6120A2DWPR,Amplifier1,HSOP-20_L12.9-W7.5-P1.27-BL-EP
TPS7A2033PDBVR,AnalogLDO1,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR
2.2,"C1, C6",C_0603_1608Metric
0.1,"C2, C5, C8, C9, C20, C21, C24, C26",C_0603_1608Metric
10,"C3, C4, C7, C10, C18, C19, C27",C_0603_1608Metric
1,"C11, C12, C13, C14, C23",C_0603_1608Metric
0.33,"C15, C17",C_0603_1608Metric
4.7,"C16, C28",C_0603_1608Metric
56p,"C22, C25",C_0603_1608Metric
TF-01A,Card_Reader1,TF-SMD_TF-01A
TP4056_C382139,ChargerIC1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP
Sch-Ba,"D1, D2",SMA_L4.4-W2.6-LS5.0-RD
PCM5102APWR,DAC1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL
AP2112K-3.3TRG1,DigitalLDO1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL
FS8205A_C908265,DualMosfet1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR
Display,FPC1,FFC-SMD_541324062
10uH ±20%,"L1, L2",C9389_IND-SMD_2P-L5_0-W5_0
10uH ±20%,L4,C9164_IND-SMD_L5_8-W5_2
BSS138,N-channel1,SOT-23
DW01A,ProtectionIC1,SOT-23-6
4.7,"R1, R2",R_0805_2012Metric
1,R3,R_0805_2012Metric
2k,R4,R_0805_2012Metric
470,R5,R_0805_2012Metric
15k,R6,R_0805_2012Metric
182k,R7,R_0805_2012Metric
55k,R8,R_1206_3216Metric
5k,R9,R_0805_2012Metric
10k,"R10, R11, R12, R14, R18, R19, R20, R23, R24",R_0805_2012Metric
5.1k,"R13, R25",R_0805_2012Metric
4.7k,"R15, R16",R_0805_2012Metric
2.2,R17,R_0805_2012Metric
1k,"R21, R22",R_0805_2012Metric
LT3471EDD#TRPBF,SplitRegulator1,DFN-10_L3.0-W3.0-P0.50-BL-EP
Boot,SW2,SW-SMD_L6.0-W6.0-LS6.6
Reset,SW3,SW-SMD_L6.0-W6.0-LS6.6
TrackPad,U2,FPC-SMD_12P-P0.50_HC-FPC-0.5-12P-FH20
TYPE-C16PIN,USB1,USB-C-SMD_TYPE-C16PIN